licno,address,capacity,boro,bbl,factype,cd,zipcode,juris,longitude,latitude,TableDate
2103454-DCA,456 GRAND ST,50,Brooklyn,3023990001.0,Garage,301.0,11211.0,NYCDCWP,-73.9529713,40.7110646,2022_08
2103395-DCA,101 W 12TH ST,98,Manhattan,1006080039.0,Garage,102.0,10011.0,NYCDCWP,-73.9979757,40.7364769,2022_08
1102228-DCA,100 MYRTLE AVE,175,Brooklyn,3001480007.0,Parking Lot,302.0,11201.0,NYCDCWP,-73.98572709999999,40.6932872,2022_08
1084607-DCA,4140 UNION ST,230,Queens,4050457501.0,Garage,407.0,11355.0,NYCDCWP,-73.8258551,40.7580178,2022_08
2075100-DCA,587 AVE OF THE AMERICAS,42,Manhattan,1007920039.0,Parking Lot,104.0,10011.0,NYCDCWP,-73.9958537,40.7392765,2022_08
2067580-DCA,201 E 60TH ST,70,Manhattan,1014157501.0,Garage,108.0,10065.0,NYCDCWP,-73.9655911,40.762365700000004,2022_08
2067983-DCA,2430 FDR DR,695,Manhattan,1009910050.0,Garage,106.0,10009.0,NYCDCWP,-73.9733848,40.735137200000004,2022_08
1302964-DCA,15608 RIVERSIDE DR W,67,Manhattan,1021347504.0,Garage,112.0,10032.0,NYCDCWP,-73.94811,40.8348063,2022_08
2091314-DCA,140 W 65TH ST,721,Manhattan,1011340001.0,Garage,107.0,10023.0,NYCDCWP,-73.9838579,40.7727174,2022_08
2103421-DCA,1962 CROTONA PKWY,45,Bronx,2031210002.0,Garage,206.0,10460.0,NYCDCWP,-73.884899,40.8426269,2022_08
2054343-DCA,365 BRIDGE ST,88,Brooklyn,3020587501.0,Garage,302.0,11201.0,NYCDCWP,-73.98497359999999,40.692576200000005,2022_08
